party,state,percentage_2014,percentage_2019,percentage_difference
JBSP,Jharkhand,0.0415,0.0000,-0.0415
NCP,Gujarat,0.0462,0.0044,-0.0418
TRS,Telangana,1.2954,1.2532,-0.0422
CPM,"Tamil Nadu",0.0424,0.0000,-0.0424
IND,"NCT OF Delhi",0.0503,0.0050,-0.0453
MAMAK,"Tamil Nadu",0.0455,0.0000,-0.0455
AIMIM,Telangana,0.1308,0.0843,-0.0465
AITC,Jharkhand,0.0589,0.0117,-0.0472
INC,Manipur,0.1132,0.0649,-0.0484
AAAP,Karnataka,0.0489,0.0000,-0.0489
AAAP,Kerala,0.0494,0.0000,-0.0494
CPI(ML)(L),Jharkhand,0.0614,0.0119,-0.0495
PT,"Tamil Nadu",0.0505,0.0000,-0.0505
AAAP,Rajasthan,0.0524,0.0000,-0.0524
IND,Punjab,0.0958,0.0383,-0.0575
AAAP,Gujarat,0.0580,0.0000,-0.0580
JD(S),Kerala,0.0584,0.0000,-0.0584
SJD,Kerala,0.0592,0.0000,-0.0592
AAAP,Bihar,0.0651,0.0043,-0.0609
CPI,Kerala,0.2623,0.2009,-0.0614
NPEP,Rajasthan,0.0626,0.0000,-0.0626
BSP,Rajasthan,0.1219,0.0568,-0.0651
AAAP,"Madhya Pradesh",0.0672,0.0000,-0.0672
SUCI,"West Bengal",0.0674,0.0000,-0.0674
QED,"Uttar Pradesh",0.0682,0.0000,-0.0682
BBM,Maharashtra,0.0694,0.0000,-0.0694
INC,Bihar,0.5810,0.5114,-0.0696
INC,"Himachal Pradesh",0.2424,0.1711,-0.0712
BSP,"Madhya Pradesh",0.2163,0.1430,-0.0733
NCP,Bihar,0.0829,0.0063,-0.0766
SWP,Maharashtra,0.2125,0.1359,-0.0767
SAD,Punjab,0.6992,0.6152,-0.0840
AAAP,Haryana,0.0938,0.0074,-0.0864
RSPS,Maharashtra,0.0869,0.0000,-0.0869
PECP,"Uttar Pradesh",0.0962,0.0044,-0.0918
INC,"Andhra Pradesh",0.1582,0.0663,-0.0919
PWPI,Maharashtra,0.0957,0.0000,-0.0957
JD(S),Karnataka,0.6551,0.5531,-0.1019
INC,Gujarat,1.6319,1.5203,-0.1116
JKPDP,"Jammu & Kashmir",0.1409,0.0137,-0.1272
NCP,Maharashtra,1.4965,1.3656,-0.1309
BJP,Maharashtra,2.5593,2.4280,-0.1313
IND,"Uttar Pradesh",0.2721,0.1391,-0.1330
IND,Assam,0.2763,0.1414,-0.1349
HJCBL,Haryana,0.1353,0.0000,-0.1353
MNS,Maharashtra,0.1362,0.0000,-0.1362
NPF,Nagaland,0.1372,0.0000,-0.1372
AD,"Uttar Pradesh",0.1562,0.0000,-0.1562
AAAP,"Uttar Pradesh",0.1579,0.0014,-0.1565
YSRCP,Telangana,0.1662,0.0000,-0.1662
BSP,Maharashtra,0.2445,0.0753,-0.1692
AIFB,"West Bengal",0.2127,0.0390,-0.1737
BJP,"Tamil Nadu",0.4276,0.2527,-0.1749
JVM,Jharkhand,0.3015,0.1222,-0.1792
CPI,"West Bengal",0.2313,0.0371,-0.1942
AIUDF,Assam,0.4303,0.2283,-0.2020
RSP,"West Bengal",0.2415,0.0339,-0.2076
AAAP,Maharashtra,0.2094,0.0000,-0.2094
TDP,"Andhra Pradesh",2.2555,2.0378,-0.2178
DMDK,"Tamil Nadu",0.3998,0.1514,-0.2484
CPM,Tripura,0.2491,0.0000,-0.2491
IND,Kerala,0.3930,0.1331,-0.2599
INC,Maharashtra,1.6981,1.4316,-0.2665
AAAP,"NCT OF Delhi",0.5236,0.2559,-0.2677
MDMK,"Tamil Nadu",0.2726,0.0000,-0.2726
INC,"Uttar Pradesh",1.1656,0.8886,-0.2770
IND,Rajasthan,0.3474,0.0566,-0.2908
BSP,"Uttar Pradesh",3.0603,2.7126,-0.3478
BJP,"Andhra Pradesh",0.3994,0.0495,-0.3499
RJD,Bihar,1.3894,1.0210,-0.3683
INC,"West Bengal",0.9513,0.5227,-0.4286
TDP,Telangana,0.4558,0.0000,-0.4558
BJP,Bihar,2.0274,1.5663,-0.4612
AAAP,Punjab,0.6486,0.1654,-0.4833
INLD,Haryana,0.5384,0.0391,-0.4993
INC,Karnataka,2.4358,1.8241,-0.6117
CPM,Kerala,0.7463,0.0000,-0.7463
SP,"Uttar Pradesh",3.4593,2.5292,-0.9301
ADMK,"Tamil Nadu",3.4574,1.3526,-2.1048
CPM,"West Bengal",2.2544,0.0000,-2.2544
NULL,NULL,NULL,0.0000,NULL
